epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,8092.84,0.34342,0.20779,0.83014,0.95538,0.78734,0.84028,0.78203,0.65529,0.33446,0.99033,0.00087875,0.00087875,0.00087875
92,8183.36,0.36009,0.21443,0.83392,0.95737,0.79787,0.88974,0.8336,0.64905,0.33135,0.99362,0.000874625,0.000874625,0.000874625
93,8258.03,0.36852,0.22315,0.83785,0.97905,0.92809,0.97267,0.9109,0.64084,0.33325,0.99476,0.0008705,0.0008705,0.0008705
94,8350.3,0.35576,0.21926,0.83134,0.95865,0.79574,0.91656,0.85476,0.6546,0.31403,1.01094,0.000866375,0.000866375,0.000866375
95,8441.76,0.35257,0.21368,0.82947,0.9162,0.80457,0.87678,0.82331,0.66238,0.30996,1.00384,0.00086225,0.00086225,0.00086225
96,8550.47,0.34911,0.21356,0.82718,0.91922,0.73639,0.86612,0.80641,0.6604,0.33003,0.99552,0.000858125,0.000858125,0.000858125
97,8644.42,0.3487,0.21025,0.82822,0.95446,0.77909,0.8434,0.78552,0.66602,0.31642,1.02979,0.000854,0.000854,0.000854
98,8743.83,0.33875,0.20512,0.82663,0.93865,0.93799,0.96729,0.90195,0.66329,0.32489,1.03147,0.000849875,0.000849875,0.000849875
99,8942.41,0.34088,0.20673,0.82593,0.95661,0.77846,0.8655,0.79911,0.65456,0.32076,1.00638,0.00084575,0.00084575,0.00084575
100,9036.36,0.34306,0.20678,0.83161,0.92139,0.79634,0.85738,0.8025,0.67094,0.34464,0.99418,0.000841625,0.000841625,0.000841625
101,9123.71,0.35158,0.21178,0.83056,0.95841,0.78385,0.88358,0.83182,0.65048,0.33442,0.98691,0.0008375,0.0008375,0.0008375
102,9198.57,0.33726,0.20542,0.82802,0.92938,0.80927,0.86609,0.81174,0.64394,0.3279,0.99648,0.000833375,0.000833375,0.000833375
103,9324.83,0.33962,0.2065,0.82759,0.86594,0.95028,0.94238,0.88889,0.67684,0.33039,1.01411,0.00082925,0.00082925,0.00082925
104,9468.66,0.33854,0.2063,0.82689,0.95517,0.93333,0.98722,0.93966,0.65045,0.32737,0.98425,0.000825125,0.000825125,0.000825125
105,9551.99,0.34168,0.20468,0.82712,0.96686,0.94225,0.97959,0.93263,0.68897,0.32416,1.02209,0.000821,0.000821,0.000821
106,9634.49,0.34577,0.20775,0.82526,0.95388,0.95025,0.97725,0.92972,0.6506,0.33922,0.99181,0.000816875,0.000816875,0.000816875
107,9758.87,0.32657,0.20192,0.82362,0.94537,0.93267,0.97386,0.91868,0.64428,0.32887,0.98061,0.00081275,0.00081275,0.00081275
108,9833.83,0.325,0.19935,0.82497,0.96737,0.94918,0.96122,0.90446,0.60723,0.30283,0.96177,0.000808625,0.000808625,0.000808625
109,9908.58,0.32268,0.19749,0.82157,0.95992,0.9306,0.95773,0.91692,0.6357,0.32398,0.9747,0.0008045,0.0008045,0.0008045
110,9983.54,0.32689,0.20025,0.82418,0.94472,0.77827,0.85154,0.79719,0.65299,0.31428,0.98678,0.000800375,0.000800375,0.000800375
111,10058.7,0.33322,0.20213,0.82305,0.84856,0.93192,0.93122,0.87307,0.66442,0.31931,0.99923,0.00079625,0.00079625,0.00079625
112,10133.2,0.3231,0.19829,0.82359,0.95286,0.76397,0.86546,0.81405,0.66267,0.30589,0.99837,0.000792125,0.000792125,0.000792125
113,10208.4,0.33813,0.20318,0.83006,0.96987,0.7495,0.86509,0.82051,0.64465,0.32849,0.98422,0.000788,0.000788,0.000788
114,10283.9,0.33411,0.20601,0.82763,0.93779,0.77213,0.8458,0.78605,0.65464,0.30614,0.98279,0.000783875,0.000783875,0.000783875
115,10359.1,0.33159,0.20439,0.82299,0.91482,0.77879,0.85082,0.79674,0.65316,0.31709,0.98498,0.00077975,0.00077975,0.00077975
116,10436,0.3294,0.20303,0.8244,0.9599,0.76135,0.86789,0.80696,0.66485,0.32704,0.98769,0.000775625,0.000775625,0.000775625
117,10510.9,0.32855,0.20301,0.82177,0.95009,0.77216,0.88867,0.83991,0.66942,0.32765,1.02369,0.0007715,0.0007715,0.0007715
